Codigo Filial,Filial,Produto,Desc Produto,Desc Cor Produto,Grade,Estoque atual,Colecao,Categoria Produto
801509,SHOPPING ESTACAO CUIABA,I20040523,CAM F MC OUTLAST,BRANCO,G,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040523,CAM F MC OUTLAST,FERVEDOURO I20,M,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040538,CAM F MC TH U,MESCLA MEDIO,P,2,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040558,CAM M ML OUTLAST,RIO I20,M,1,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20040600,CAM F MC TELA,PRETO,P,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040600,CAM F MC TELA,PRETO,G,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040624,CAM CROPPED SKIN BURITI,BURITI I20,P,7,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040624,CAM CROPPED SKIN BURITI,BURITI I20,M,2,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040624,CAM CROPPED SKIN BURITI,BURITI I20,G,3,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040630,CAM M ML THERMATECH,MESCLA CLARO,G,2,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20040630,CAM M ML THERMATECH,MESCLA CLARO,GG,1,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20040649,CAM F MC OVERLOQUE,PRETO,P,3,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040649,CAM F MC OVERLOQUE,PRETO,M,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040649,CAM F MC OVERLOQUE,PRETO,G,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040741,CAM MC F GEOMETRICA,GEOMETRICA I20,G,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040742,CAM ML F ENERGIA,VEREDA I20,P,1,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20040746,CAM ML F ADRENALINA,PRETO,P,5,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20040746,CAM ML F ADRENALINA,PRETO,M,4,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20040746,CAM ML F ADRENALINA,PRETO,G,3,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20040751,CAM F MC FOLHAGEM,PRETO,G,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040754,CAM F REFLEXO,JALAPAO I20,P,1,I20,AUTORIDADE
801509,SHOPPING ESTACAO CUIABA,I20040756,CAM F ML GOTAS,AZUL NOTURNO,P,5,I20,PREFERENCIAL
801509,SHOPPING ESTACAO CUIABA,I20040756,CAM F ML GOTAS,AZUL NOTURNO,M,4,I20,PREFERENCIAL
